"from","fromLevels0","fromLevels1","to","toLevels0","toLevels1","support","exp.coefficient","interpretation.exp.coef","coefficient","SE","interpretation","prob","interpretation.prob","cornames"
"Sex","intercept",NA,NA,NA,NA,NA,2.73,"odds ratio",1,0.08,"log odds ratio",0.73,"P(Sex=Female)","Gender|intercept"
"Pos. Fam. History","intercept",NA,NA,NA,NA,NA,0.37,"odds ratio",-0.99,0.08,"log odds ratio",0.27,"P(Pos. Fam. History=Yes)","Positive.famillial.history|intercept"
"Age at Diagnosis","intercept",NA,NA,NA,NA,NA,1,"exp. corr. coef.",0,0.04,"correlation",0.5,"P(Age at Diagnosis)","AgeDiag|intercept"
"Hypertension","intercept",NA,NA,NA,NA,NA,0.86,"odds ratio",-0.15,0.15,"log odds ratio",0.46,"P(Hypertension=AnyType)","Hypertension|intercept"
"Sex","Male","Female","Hypertension","Never","AnyType",0.87,0.63,"odds ratio",-0.47,0.17,"log odds ratio",0.38,"P(Sex=Female|Hypertension=AnyType)","Hypertension|Gender"
"Age at Diagnosis","",NA,"Hypertension","Never","AnyType",1,2.07,"odds ratio",0.73,0.08,"log odds ratio",0.67,"P(Age at Diagnosis= cont. |Hypertension=AnyType)","Hypertension|AgeDiag"
"Smoking Status=Former","intercept",NA,NA,NA,NA,NA,0.59,"odds ratio",-0.53,0.18,"log odds ratio",0.37,"P(Smoking Status=Former)","Smoking_Current_Former_No|intercept.Former"
"Smoking Status=No","intercept",NA,NA,NA,NA,NA,0.74,"odds ratio",-0.3,0.16,"log odds ratio",0.43,"P(Smoking Status=No)","Smoking_Current_Former_No|intercept.No"
"Sex","Male","Female","Smoking Status=Former","No","Yes",1,0.84,"odds ratio",-0.17,0.22,"log odds ratio",0.46,"P(Sex=Female|Smoking Status=Former=Yes)","Smoking_Current_Former_No|Gender.Former"
"Age at Diagnosis","",NA,"Smoking Status=Former","No","Yes",1,1.97,"odds ratio",0.68,0.19,"log odds ratio",0.66,"P(Age at Diagnosis= cont. |Smoking Status=Former=Yes)","Smoking_Current_Former_No|AgeDiag.Former"
"Sex","Male","Female","Smoking Status=No","No","Yes",1,1.6,"odds ratio",0.47,0.11,"log odds ratio",0.62,"P(Sex=Female|Smoking Status=No=Yes)","Smoking_Current_Former_No|Gender.No"
"Age at Diagnosis","",NA,"Smoking Status=No","No","Yes",1,1.52,"odds ratio",0.42,0.08,"log odds ratio",0.6,"P(Age at Diagnosis= cont. |Smoking Status=No=Yes)","Smoking_Current_Former_No|AgeDiag.No"
"IA Location=Low risk","intercept",NA,NA,NA,NA,NA,0.33,"odds ratio",-1.11,0.24,"log odds ratio",0.25,"P(IA Location=Low risk)","location.grouped|intercept.Low"
"IA Location=Medium risk","intercept",NA,NA,NA,NA,NA,0.94,"odds ratio",-0.06,0.17,"log odds ratio",0.48,"P(IA Location=Medium risk)","location.grouped|intercept.Medium"
"Sex","Male","Female","IA Location=Low risk","No","Yes",1,2.71,"odds ratio",1,0.25,"log odds ratio",0.73,"P(Sex=Female|IA Location=Low risk=Yes)","location.grouped|Gender.Low"
"Pos. Fam. History","No","Yes","IA Location=Low risk","No","Yes",0.64,1.4,"odds ratio",0.34,0.18,"log odds ratio",0.58,"P(Pos. Fam. History=Yes|IA Location=Low risk=Yes)","location.grouped|Positive.famillial.history.Low"
"Hypertension","Never","AnyType","IA Location=Low risk","No","Yes",0.96,2.21,"odds ratio",0.79,0.22,"log odds ratio",0.69,"P(Hypertension=AnyType|IA Location=Low risk=Yes)","location.grouped|Hypertension.Low"
